signal_date,ticker,pattern_type,score,entry_close,date,day_offset,open,high,low,close,volume,return_from_entry_pct,daily_return_pct
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-01,0,100.11,101.8,96.14,99.45,1224624,0.0,-0.6593
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-02,1,98.75,101.1,96.7,97.17,373108,-2.2926,-2.2926
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-03,2,97.65,97.69,95.0,95.95,293393,-3.5194,-1.2555
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-04,3,96.78,99.65,95.8,96.4,789395,-3.0669,0.469
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-05,4,97.62,100.7,96.2,98.77,707347,-0.6838,2.4585
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-08,5,97.25,99.39,95.75,96.43,406347,-3.0367,-2.3691
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-09,6,96.5,97.79,95.71,96.88,193945,-2.5842,0.4667
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-10,7,96.74,97.9,93.5,94.1,290443,-5.3796,-2.8695
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-11,8,93.0,94.96,91.06,91.98,280856,-7.5113,-2.2529
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-12,9,93.29,93.88,89.8,91.69,461295,-7.8029,-0.3153
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-15,10,92.15,94.86,89.72,90.57,491793,-8.9291,-1.2215
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-16,11,92.0,95.1,90.6,94.62,731731,-4.8567,4.4717
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-17,12,95.0,97.13,93.31,93.84,457916,-5.641,-0.8244
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-18,13,94.77,95.71,92.88,95.02,367468,-4.4545,1.2575
2026-06-01,GHCLTEXTIL,pocket_pivot,100.0,99.45,2026-06-19,14,95.02,96.0,92.92,95.33,390428,-4.1428,0.3262
